unified_round,native_id,date,role,feature_family,cohort_or_split,own_endpoint,own_metric,outcome,has_archived_metric,source_file
290,NEXT274,2026-08-09,diagnostic,PRVJ residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual (lexicographic),"closest 0.0979291803 vs NEXT270 (5, 0.0955435293): worse by 0.0023856511; branch closed",diagnostic-only,yes,line 5596 | docs/plans/2026-08-09-next271-next274-joint-radical-packing.md | SSD/workspace_data/newpauling/next274_joint_radical_broad_diagnostic_v1/MANIFEST.json :: new_formula_selected=False; candidate_count=117 || SSD/workspace_data/newpauling/next274_jo
291,NEXT275,2026-08-09,search/test,species-resolved radical packing (PRVS) features,SCIGEN+WyFormer discovery,label-free feature build,"10 features finite; coverage matched NEXT267 (13,469 / 5,226); 7 abstentions",probe-pass,yes,line 5249 | docs/plans/2026-08-09-next275-next278-species-resolved-radical-packing.md | artifact mtime: docs/plans/2026-08-09-next275-next278-species-resolved-radical-packing.md
292,NEXT276,2026-08-09,search/test,PRVS feature audit,SCIGEN+WyFormer discovery labels (offline),cross-source eligibility of 20 hypotheses,"1/20 eligible: chebyshev_between_cv SCIGEN 0.6387217848/0.5647325380, WyFormer 0.5838637622/0.5394419912",probe-pass,yes,line 5297 | docs/plans/2026-08-09-next275-next278-species-resolved-radical-packing.md | SSD/workspace_data/newpauling/next276_species_resolved_radical_feature_audit_v1/MANIFEST.json :: new_formula_selected=False; eligible_hypothesis_count=1 || SSD/workspace_data/newpa
293,NEXT277,2026-08-09,search/test,PRVS margin-local search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,21 new candidates; 18 AUC; 20 SAFE; 18 AUC+SAFE; 0 BROAD,fail-gate,yes,line 5322 | docs/plans/2026-08-09-next275-next278-species-resolved-radical-packing.md | SSD/workspace_data/newpauling/next277_species_resolved_radical_margin_local_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candi
294,NEXT278,2026-08-09,diagnostic,PRVS residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual (lexicographic),"closest: five failures, shortfall 0.1565314150611804 (worse than NEXT270 by 0.0609878857855497); branch closed",diagnostic-only,yes,line 5336 | docs/plans/2026-08-09-next275-next278-species-resolved-radical-packing.md | SSD/workspace_data/newpauling/next278_species_resolved_radical_broad_diagnostic_v1/MANIFEST.json :: new_formula_selected=False; candidate_count=18 || SSD/workspace_data/newpauling/
295,NEXT279,2026-08-09,search/test,radical-packing autocorrelation (PRPA) features,SCIGEN+WyFormer discovery,label-free feature build (two pre-outcome amendments),"supported 13,412/13,470 and 5,073/5,232; 1,744,436 + 1,311,394 directed contact incidences",probe-pass,yes,line 5423 | docs/plans/2026-08-09-next279-next282-radical-packing-autocorrelation-amendment-2.md | artifact mtime: docs/plans/2026-08-09-next279-next282-radical-packing-autocorrelation.md
296,NEXT280,2026-08-09,search/test,PRPA feature audit,SCIGEN+WyFormer discovery labels (offline),cross-source eligibility of 8 frozen directions,"0/8 eligible; top chebyshev_geary SCIGEN 0.5290111493/0.4571619089, WyFormer 0.5422106908/0.5039079462; branch terminated",abandoned-family,yes,line 5475 | docs/plans/2026-08-09-next279-next282-radical-packing-autocorrelation-amendment-2.md | SSD/workspace_data/newpauling/next280_radical_packing_autocorrelation_audit_v1/MANIFEST.json :: new_formula_selected=False; eligible_hypothesis_count=0 || SSD/workspace_data/newpau
297,NEXT281,2026-08-09 (block),search/test,PRPA (follow-on search),NA,"reserved follow-on; ""NEXT281 and NEXT282 were neither created nor run""",NA,not-run (blocked upstream),no,line 5491 | docs/plans/2026-08-09-next279-next282-radical-packing-autocorrelation-amendment-2.md
298,NEXT282,2026-08-09 (block),search/test,PRPA (follow-on diagnostic),NA,reserved follow-on; not created,NA,not-run (blocked upstream),no,line 5491 | docs/plans/2026-08-09-next279-next282-radical-packing-autocorrelation-amendment-2.md
299,NEXT283,2026-08-09,search/test,power-cell shape-volume coupling (PSVC) features,SCIGEN+WyFormer discovery,label-free feature build (scale-invariance amendment),"records for 13,469/13,470 and 5,226/5,232; sphericity ranges 0.063645-0.953111 / 0.061253-0.972860",probe-pass,yes,line 6109 | docs/plans/2026-08-09-next283-next286-power-cell-shape-volume-coupling-amendment.md | artifact mtime: docs/plans/2026-08-09-next283-next286-power-cell-shape-volume-coupling.md
300,NEXT284,2026-08-09,search/test,PSVC feature audit,SCIGEN+WyFormer discovery labels (offline),cross-source eligibility of 6 directions,"3/6 eligible; mean inflated-asphericity SCIGEN 0.719090/0.717172/0.657663, WyFormer 0.598361/0.599818/0.574934",probe-pass,yes,line 6174 | docs/plans/2026-08-09-next283-next286-power-cell-shape-volume-coupling-amendment.md | SSD/workspace_data/newpauling/next284_power_cell_shape_volume_feature_audit_v1/MANIFEST.json :: new_formula_selected=False; eligible_hypothesis_count=3 || SSD/workspace_data/newpau
301,NEXT285,2026-08-09,search/test,PSVC margin-local search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,63 new candidates; 42 AUC+SAFE; 60 SAFE; 0 BROAD,fail-gate,yes,line 6205 | docs/plans/2026-08-09-next283-next286-power-cell-shape-volume-coupling-amendment.md | SSD/workspace_data/newpauling/next285_power_cell_shape_volume_margin_local_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candid
302,NEXT286,2026-08-09,diagnostic,PSVC residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual (lexicographic),"closest: five failures, shortfall 0.1546675058 (worse than NEXT270 by 0.0591239765); branch closed",diagnostic-only,yes,line 6234 | docs/plans/2026-08-09-next283-next286-power-cell-shape-volume-coupling-amendment.md | SSD/workspace_data/newpauling/next286_power_cell_shape_volume_broad_diagnostic_v1/MANIFEST.json :: new_formula_selected=False; candidate_count=42 || SSD/workspace_data/newpauling/n
303,NEXT287,2026-08-09,search/test,PRV one-sided relief search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,42 new candidates; all SAFE; 35 AUC+SAFE; 0 BROAD,fail-gate,yes,line 6277 | docs/plans/2026-08-09-next287-next288-prv-one-sided-relief.md | SSD/workspace_data/newpauling/next287_prv_one_sided_relief_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=43; el
304,NEXT288,2026-08-09,diagnostic,one-sided relief residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual (lexicographic),"closest: five failures, shortfall 0.1274245558 (worse than NEXT270 by 0.0318810265); branch closed",diagnostic-only,yes,line 6340 | docs/plans/2026-08-09-next287-next288-prv-one-sided-relief.md | SSD/workspace_data/newpauling/next288_prv_one_sided_broad_diagnostic_v1/MANIFEST.json :: new_formula_selected=False; candidate_count=35 || SSD/workspace_data/newpauling/next288_prv
305,NEXT289,2026-08-09,search/test,PRV confidence-deadzone search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,84 new candidates; 80 SAFE; 64 AUC+SAFE; 0 BROAD,fail-gate,yes,line 6388 | docs/plans/2026-08-09-next289-next290-prv-confidence-deadzone.md | SSD/workspace_data/newpauling/next289_prv_confidence_deadzone_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=85;
306,NEXT290,2026-08-09,diagnostic,deadzone residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual (lexicographic),"closest: five failures, shortfall 0.1787881434 (worse than NEXT270 by 0.0832446141); PRV score-combination development closed",diagnostic-only,yes,line 6448 | docs/plans/2026-08-09-next289-next290-prv-confidence-deadzone.md | SSD/workspace_data/newpauling/next290_prv_confidence_deadzone_broad_diagnostic_v1/MANIFEST.json :: new_formula_selected=False; candidate_count=64 || SSD/workspace_data/newpauling/n
307,NEXT291,2026-08-09,search/test,radius-weighted Delaunay cage isotropy (RWDCI) features,SCIGEN+WyFormer discovery,label-free feature build + invariance,coverage 0.999925761 SCIGEN / 0.998853211 WyFormer; tiling errors <=1.8242e-15,probe-pass,yes,line 6498 | docs/plans/2026-08-09-next291-next294-radius-weighted-delaunay-cage-isotropy.md | artifact mtime: docs/plans/2026-08-09-next291-next294-radius-weighted-delaunay-cage-isotropy.md
308,NEXT292,2026-08-09,search/test,RWDCI feature audit,SCIGEN+WyFormer discovery labels (offline),cross-source eligibility of 16 protected_high hypotheses,"0/16 eligible (all pass SCIGEN, none WyFormer); leader closure_q10 SCIGEN 0.692462/0.639360 vs WyFormer 0.532862/0.474934; branch terminated",abandoned-family,yes,line 6576 | docs/plans/2026-08-09-next291-next294-radius-weighted-delaunay-cage-isotropy.md | SSD/workspace_data/newpauling/next292_rwdci_feature_audit_v1/MANIFEST.json :: new_formula_selected=False; eligible_hypothesis_count=0 || SSD/workspace_data/newpauling/next292_rwdci
309,NEXT293,2026-08-09 (block),search/test,RWDCI (follow-on search),NA,"reserved follow-on; ""NEXT293 and NEXT294 were not created""",NA,not-run (blocked upstream),no,line 6596 | docs/plans/2026-08-09-next291-next294-radius-weighted-delaunay-cage-isotropy.md
310,NEXT294,2026-08-09 (block),search/test,RWDCI (follow-on diagnostic),NA,reserved follow-on; not created,NA,not-run (blocked upstream),no,line 6596 | docs/plans/2026-08-09-next291-next294-radius-weighted-delaunay-cage-isotropy.md
311,NEXT295,2026-08-09,search/test,positive contact force closure (PCFC) features,SCIGEN+WyFormer discovery,label-free feature build (LP closure certificate),"supported 12,749/13,470 (0.946473645) and 5,013/5,232 (0.958142202); build 137.47 s",probe-pass,yes,line 6633 | docs/plans/2026-08-09-next295-next298-positive-contact-force-closure.md | artifact mtime: docs/plans/2026-08-09-next295-next298-positive-contact-force-closure.md
312,NEXT296,2026-08-09,search/test,PCFC feature audit,SCIGEN+WyFormer discovery labels (offline),cross-source eligibility incl. 0.90 fold-coverage gate,0/13 eligible; leader weighted_closure_mean AUC 0.641579/0.564525 SCIGEN & 0.557970/0.554311 WyFormer but SCIGEN fold coverage 0.896272285 < 0.90; branch terminated,abandoned-family,yes,line 6728 | docs/plans/2026-08-09-next295-next298-positive-contact-force-closure.md | SSD/workspace_data/newpauling/next296_pcfc_feature_audit_v1/MANIFEST.json :: new_formula_selected=False; eligible_hypothesis_count=0 || SSD/workspace_data/newpauling/next296_pcfc_f
313,NEXT297,2026-08-09 (block),search/test,PCFC (follow-on search),NA,"reserved follow-on; ""NEXT297 and NEXT298 were not created""",NA,not-run (blocked upstream),no,line 6758 | docs/plans/2026-08-09-next295-next298-positive-contact-force-closure.md
314,NEXT298,2026-08-09 (block),search/test,PCFC (follow-on diagnostic),NA,reserved follow-on; not created,NA,not-run (blocked upstream),no,line 6758 | docs/plans/2026-08-09-next295-next298-positive-contact-force-closure.md
315,NEXT299,2026-08-09,search/test,minimal opposite-sign periodic cage (MOSPC) features,SCIGEN+WyFormer discovery,label-free feature build + certified enumeration,"supported 13,217/13,470 (0.981217520) and 5,180/5,232 (0.990061162); build 37.09 s",probe-pass,yes,line 6798 | docs/plans/2026-08-09-next299-next302-minimal-opposite-sign-periodic-cage.md | artifact mtime: docs/plans/2026-08-09-next299-next302-minimal-opposite-sign-periodic-cage.md
316,NEXT300,2026-08-09,search/test,MOSPC feature audit,SCIGEN+WyFormer discovery labels (offline),cross-source eligibility of 13 hypotheses,"5/13 eligible; leader inverse-square closure q10 SCIGEN 0.649318/0.608070, WyFormer 0.590281/0.542385",probe-pass,yes,line 6874 | docs/plans/2026-08-09-next299-next302-minimal-opposite-sign-periodic-cage.md | SSD/workspace_data/newpauling/next300_mospc_feature_audit_v1/MANIFEST.json :: new_formula_selected=False; eligible_hypothesis_count=5 || SSD/workspace_data/newpauling/next300_mospc
317,NEXT301,2026-08-09,search/test,MOSPC margin-local search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,105 new candidates; 80 pass AUC+SAFE; 0 BROAD,fail-gate,yes,line 6907 | docs/plans/2026-08-09-next299-next302-minimal-opposite-sign-periodic-cage.md | SSD/workspace_data/newpauling/next301_mospc_margin_local_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=106; eli
318,NEXT302,2026-08-09,diagnostic,MOSPC residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual (lexicographic),"closest: six failures, shortfall 0.152605018 vs NEXT235 (5, 0.123395437); branch closed",diagnostic-only,yes,line 6923 | docs/plans/2026-08-09-next299-next302-minimal-opposite-sign-periodic-cage.md | SSD/workspace_data/newpauling/next302_mospc_broad_diagnostic_v1/MANIFEST.json :: new_formula_selected=False; candidate_count=80 || SSD/workspace_data/newpauling/next302_mospc_broad
319,NEXT303,2026-08-09,search/test,periodic reciprocal cage balance (PRCB) features,SCIGEN+WyFormer discovery,label-free feature build,"supported 13,217 (0.9812175204) and 5,180 (0.9900611621); 317,429 + 296,737 edge orbits",probe-pass,yes,line 6978 | docs/plans/2026-08-09-next303-next306-periodic-reciprocal-cage-balance.md | artifact mtime: docs/plans/2026-08-09-next303-next306-periodic-reciprocal-cage-balance.md
320,NEXT304,2026-08-09,search/test,PRCB feature audit,SCIGEN+WyFormer discovery labels (offline),cross-source eligibility of 13 hypotheses,"4/13 eligible; leader inverse-square closure min SCIGEN 0.670679/0.635616, WyFormer 0.566946/0.537039; mutual-selection hypotheses reversed direction",probe-pass,yes,line 7053 | docs/plans/2026-08-09-next303-next306-periodic-reciprocal-cage-balance.md | SSD/workspace_data/newpauling/next304_prcb_feature_audit_v1/MANIFEST.json :: new_formula_selected=False; eligible_hypothesis_count=4 || SSD/workspace_data/newpauling/next304_prcb_f
321,NEXT305,2026-08-09,search/test,PRCB margin-local search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,84 new candidates; 67 AUC; 83 SAFE; 67 AUC+SAFE; 0 BROAD,fail-gate,yes,line 7082 | docs/plans/2026-08-09-next303-next306-periodic-reciprocal-cage-balance.md | SSD/workspace_data/newpauling/next305_prcb_margin_local_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=85; eligi
322,NEXT306,2026-08-09,diagnostic,PRCB residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual (lexicographic),"closest: six failures, shortfall 0.1573456864 (worse than NEXT235 by 0.0339502499); branch closed",diagnostic-only,yes,line 7097 | docs/plans/2026-08-09-next303-next306-periodic-reciprocal-cage-balance.md | SSD/workspace_data/newpauling/next306_prcb_broad_diagnostic_v1/MANIFEST.json :: new_formula_selected=False; candidate_count=67 || SSD/workspace_data/newpauling/next306_prcb_broad_d
323,NEXT307,2026-08-09,search/test,periodic bond-valence Hodge-loop (PBVHL) features,SCIGEN+WyFormer discovery,label-free feature build (cycle-space projection),"supported 12,969/13,470 (0.9628062361) and 4,988/5,232 (0.9533639144); max divergence 8.8059e-13",probe-pass,yes,line 7146 | docs/plans/2026-08-09-next307-next310-periodic-bond-valence-hodge-loop.md | artifact mtime: docs/plans/2026-08-09-next307-next310-periodic-bond-valence-hodge-loop.md
324,NEXT308,2026-08-09,search/test,PBVHL feature audit,SCIGEN+WyFormer discovery labels (offline),cross-source eligibility of 4 protected_low hypotheses,0/4 eligible; e.g. sitewise loop-RMS q90 SCIGEN 0.743196/0.699427 vs WyFormer 0.474893/0.442564 (direction loss); branch terminated,abandoned-family,yes,line 7229 | docs/plans/2026-08-09-next307-next310-periodic-bond-valence-hodge-loop.md | SSD/workspace_data/newpauling/next308_pbvhl_feature_audit_v1/MANIFEST.json :: new_formula_selected=False; eligible_hypothesis_count=0 || SSD/workspace_data/newpauling/next308_pbvhl
325,NEXT309,2026-08-09 (block),search/test,PBVHL (follow-on search),NA,"reserved follow-on; ""NEXT309 and NEXT310 were not created""",NA,not-run (blocked upstream),no,line 7249 | docs/plans/2026-08-09-next307-next310-periodic-bond-valence-hodge-loop.md
326,NEXT310,2026-08-09 (block),search/test,PBVHL (follow-on diagnostic),NA,reserved follow-on; not created,NA,not-run (blocked upstream),no,line 7249 | docs/plans/2026-08-09-next307-next310-periodic-bond-valence-hodge-loop.md
327,NEXT311,2026-08-09,search/test,periodic charge-alternation eigenmode (PCAE) features,SCIGEN+WyFormer discovery,label-free feature build,"supported 13,203/13,470 (0.9801781737) and 5,046/5,232 (0.9644495413)",probe-pass,yes,line 7277 | docs/plans/2026-08-09-next311-next314-periodic-charge-alternation-eigenmode.md | artifact mtime: docs/plans/2026-08-09-next311-next314-periodic-charge-alternation-eigenmode.md
328,NEXT312,2026-08-09,search/test,PCAE feature audit,SCIGEN+WyFormer discovery labels (offline),cross-source eligibility of 3 protected_low hypotheses,2/3 eligible: unit eigen defect 0.603969/0.560993 SCIGEN & 0.551379/0.514915 WyFormer; two-step return defect reversed,probe-pass,yes,line 7359 | docs/plans/2026-08-09-next311-next314-periodic-charge-alternation-eigenmode.md | SSD/workspace_data/newpauling/next312_pcae_feature_audit_v1/MANIFEST.json :: new_formula_selected=False; eligible_hypothesis_count=2 || SSD/workspace_data/newpauling/next312_pcae_f
329,NEXT313,2026-08-09,search/test,PCAE margin-local search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,42 new candidates; 27 AUC; 40 SAFE; 27 AUC+SAFE; 0 BROAD,fail-gate,yes,line 7388 | docs/plans/2026-08-09-next311-next314-periodic-charge-alternation-eigenmode.md | SSD/workspace_data/newpauling/next313_pcae_margin_local_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=43; eligi
330,NEXT314,2026-08-09,diagnostic,PCAE residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual (lexicographic),"closest: six failures, shortfall 0.1544726160 (worse than NEXT235 by 0.0310771795); branch closed",diagnostic-only,yes,line 7425 | docs/plans/2026-08-09-next311-next314-periodic-charge-alternation-eigenmode.md | SSD/workspace_data/newpauling/next314_pcae_broad_diagnostic_v1/MANIFEST.json :: new_formula_selected=False; candidate_count=27 || SSD/workspace_data/newpauling/next314_pcae_broad_d
331,NEXT315,2026-08-09,search/test,periodic charge Green-resistance (PCGR) features,SCIGEN+WyFormer discovery,label-free feature build (Laplacian pseudoinverse),"supported 13,203 (0.9801781737) and 5,046 (0.9644495413); nondegenerate ranges",probe-pass,yes,line 7471 | docs/plans/2026-08-09-next315-next318-periodic-charge-green-resistance.md | artifact mtime: docs/plans/2026-08-09-next315-next318-periodic-charge-green-resistance.md
332,NEXT316,2026-08-09,search/test,PCGR feature audit,SCIGEN+WyFormer discovery labels (offline),cross-source eligibility of 3 hypotheses,"1/3 eligible: voltage drop max SCIGEN 0.608070/0.581446, WyFormer 0.609492/0.523122",probe-pass,yes,line 7559 | docs/plans/2026-08-09-next315-next318-periodic-charge-green-resistance.md | SSD/workspace_data/newpauling/next316_pcgr_feature_audit_v1/MANIFEST.json :: new_formula_selected=False; eligible_hypothesis_count=1 || SSD/workspace_data/newpauling/next316_pcgr_f
333,NEXT317,2026-08-09,search/test,PCGR margin-local search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,21 new candidates; 13 AUC; 20 SAFE; 13 AUC+SAFE; 0 BROAD,fail-gate,yes,line 7588 | docs/plans/2026-08-09-next315-next318-periodic-charge-green-resistance.md | SSD/workspace_data/newpauling/next317_pcgr_margin_local_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=22; eligi
334,NEXT318,2026-08-09,diagnostic,PCGR residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual (lexicographic),"closest: six failures, shortfall 0.1530892361 (worse than NEXT235 by 0.0296937995); branch closed",diagnostic-only,yes,line 7621 | docs/plans/2026-08-09-next315-next318-periodic-charge-green-resistance.md | SSD/workspace_data/newpauling/next318_pcgr_broad_diagnostic_v1/MANIFEST.json :: new_formula_selected=False; candidate_count=13 || SSD/workspace_data/newpauling/next318_pcgr_broad_d
335,NEXT319,2026-08-09,search/test,periodic contact-shell neutralization (PCSN) features,SCIGEN+WyFormer discovery,label-free feature build,"supported 13,203 (0.9801781737) and 5,046 (0.9644495413); both features finite everywhere",probe-pass,yes,line 7686 | docs/plans/2026-08-09-next319-next322-periodic-contact-shell-neutralization.md | artifact mtime: docs/plans/2026-08-09-next319-next322-periodic-contact-shell-neutralization.md
336,NEXT320,2026-08-09,search/test,PCSN feature audit,SCIGEN+WyFormer discovery labels (offline),cross-source eligibility of 2 protected_low hypotheses,0/2 eligible; SCIGEN direction reversed (shell-1 q90 0.410741/0.380656; shell-2 0.452134/0.396980); branch terminated,abandoned-family,yes,line 7777 | docs/plans/2026-08-09-next319-next322-periodic-contact-shell-neutralization.md | SSD/workspace_data/newpauling/next320_pcsn_feature_audit_v1/MANIFEST.json :: new_formula_selected=False; eligible_hypothesis_count=0 || SSD/workspace_data/newpauling/next320_pcsn_f
337,NEXT321,2026-08-09 (block),search/test,PCSN (follow-on search),NA,"reserved follow-on; ""NEXT321 and NEXT322 were not created""",NA,not-run (blocked upstream),no,line 7792 | docs/plans/2026-08-09-next319-next322-periodic-contact-shell-neutralization.md
338,NEXT322,2026-08-09 (block),search/test,PCSN (follow-on diagnostic),NA,reserved follow-on; not created,NA,not-run (blocked upstream),no,line 7792 | docs/plans/2026-08-09-next319-next322-periodic-contact-shell-neutralization.md
339,NEXT323,2026-08-09,search/test,periodic global contact equilibrium (PGCE) features,SCIGEN+WyFormer discovery,label-free feature build (global reciprocal LP),"supported 13,413/13,470 (0.9957683742) and 5,072/5,232 (0.9694189602); max residuals 2.0081e-11 / 9.9978e-11",probe-pass,yes,line 7838 | docs/plans/2026-08-09-next323-next326-periodic-global-contact-equilibrium.md | workspace/newpauling/experiments/next323_pgce_label_blind_probe_result.json :: probe_passed=True
340,NEXT324,2026-08-11,search/test,PGCE feature audit,SCIGEN+WyFormer discovery labels (offline),cross-source eligibility of the single protected_high hypothesis,SCIGEN 0.7027481525/0.6681771516 pass; WyFormer 0.4238540620/0.3838522589 fail (reversal); 0 eligible; branch terminated,abandoned-family,yes,line 7935 | docs/plans/2026-08-09-next323-next326-periodic-global-contact-equilibrium.md | SSD/workspace_data/newpauling/next324_pgce_feature_audit_v1/MANIFEST.json :: new_formula_selected=False; eligible_hypothesis_count=0 || SSD/workspace_data/newpauling/next324_pgce_f
341,NEXT325,2026-08-09 (block),search/test,PGCE (follow-on search),NA,"reserved follow-on; ""NEXT325 and NEXT326 were not created""",NA,not-run (blocked upstream),no,line 7953 | docs/plans/2026-08-09-next323-next326-periodic-global-contact-equilibrium.md
342,NEXT326,2026-08-09 (block),search/test,PGCE (follow-on diagnostic),NA,reserved follow-on; not created,NA,not-run (blocked upstream),no,line 7953 | docs/plans/2026-08-09-next323-next326-periodic-global-contact-equilibrium.md
343,NEXT327,2026-08-13,search/test,radical-facet positive enclosure (RFPE),SCIGEN+WyFormer 80+80 label-blind probe,label-blind support/nondegeneracy/invariance/novelty(<0.90) gates,WyFormer Spearman 0.9386725280 vs NEXT323 PGCE (SCIGEN 0.8980075012); novelty failed; probe_passed=false,abandoned-family,yes,line 8003 | docs/plans/2026-08-13-next327-next330-radical-facet-positive-enclosure.md | artifact mtime: docs/plans/2026-08-13-next327-next330-radical-facet-positive-enclosure.md
344,NEXT328,2026-08-13 (block),search/test,RFPE (follow-on),NA,"reserved follow-on; ""NEXT328, NEXT329, and NEXT330 do not exist""",NA,not-run (blocked upstream),no,line 8054 | docs/plans/2026-08-13-next327-next330-radical-facet-positive-enclosure.md
345,NEXT329,2026-08-13 (block),search/test,RFPE (follow-on),NA,reserved follow-on; does not exist,NA,not-run (blocked upstream),no,line 8054 | docs/plans/2026-08-13-next327-next330-radical-facet-positive-enclosure.md
346,NEXT330,2026-08-13 (block),search/test,RFPE (follow-on),NA,reserved follow-on; does not exist,NA,not-run (blocked upstream),no,line 8054 | docs/plans/2026-08-13-next327-next330-radical-facet-positive-enclosure.md
347,NEXT331,2026-08-13,search/test,radical-facet minimum participation (RFMP),SCIGEN+WyFormer 80+80 label-blind probe,label-blind support/domain/invariance/novelty gates,"WyFormer support 69/80 < frozen 72/80 floor (6 quantization collapses, 4 empty cells, 1 certificate miss); probe_passed=false",abandoned-family,yes,line 8082 | docs/plans/2026-08-13-next331-next334-radical-facet-minimum-participation.md | artifact mtime: docs/plans/2026-08-13-next331-next334-radical-facet-minimum-participation.md
348,NEXT332,2026-08-13 (block),search/test,RFMP (follow-on),NA,"reserved follow-on; ""NEXT332, NEXT333, and NEXT334 do not exist""",NA,not-run (blocked upstream),no,line 8152 | docs/plans/2026-08-13-next331-next334-radical-facet-minimum-participation.md
349,NEXT333,2026-08-13 (block),search/test,RFMP (follow-on),NA,reserved follow-on; does not exist,NA,not-run (blocked upstream),no,line 8152 | docs/plans/2026-08-13-next331-next334-radical-facet-minimum-participation.md
350,NEXT334,2026-08-13 (block),search/test,RFMP (follow-on),NA,reserved follow-on; does not exist,NA,not-run (blocked upstream),no,line 8152 | docs/plans/2026-08-13-next331-next334-radical-facet-minimum-participation.md
351,NEXT335,2026-08-13,search/test,radical-facet Minkowski tensor (RFMT),SCIGEN+WyFormer 80+80 label-blind probe,label-blind novelty(<0.90) gate,novelty failed both sources: 0.9079231130 / 0.9430256859 vs NEXT267 vertex-anisotropy q90; probe_passed=false,abandoned-family,yes,line 8181 | docs/plans/2026-08-13-next335-next338-radical-facet-minkowski-tensor.md | artifact mtime: docs/plans/2026-08-13-next335-next338-radical-facet-minkowski-tensor.md
352,NEXT336,2026-08-13 (block),search/test,RFMT (follow-on),NA,"reserved follow-on; ""NEXT336, NEXT337, and NEXT338 do not exist""",NA,not-run (blocked upstream),no,line 8232 | docs/plans/2026-08-13-next335-next338-radical-facet-minkowski-tensor.md
353,NEXT337,2026-08-13 (block),search/test,RFMT (follow-on),NA,reserved follow-on; does not exist,NA,not-run (blocked upstream),no,line 8232 | docs/plans/2026-08-13-next335-next338-radical-facet-minkowski-tensor.md
354,NEXT338,2026-08-13 (block),search/test,RFMT (follow-on),NA,reserved follow-on; does not exist,NA,not-run (blocked upstream),no,line 8232 | docs/plans/2026-08-13-next335-next338-radical-facet-minkowski-tensor.md
355,NEXT339,2026-08-13,search/test,periodic geometric homogenized transmissivity (PGHT),SCIGEN+WyFormer 80+80 label-blind probe,label-blind nondegeneracy gate + analytic identity,constant feature: exactly 1 unique value (1.0) per source (Minkowski facet equilibrium annihilates affine forcing); formula-level falsification,abandoned-family,yes,line 8261 | docs/plans/2026-08-13-next339-next342-periodic-geometric-homogenized-transmissivity-amendment.md | artifact mtime: docs/plans/2026-08-13-next339-next342-periodic-geometric-homogenized-transmissivity.md
356,NEXT340,2026-08-13 (block),search/test,PGHT (follow-on),NA,"reserved follow-on; ""NEXT340, NEXT341, and NEXT342 do not exist""",NA,not-run (blocked upstream),no,line 8325 | docs/plans/2026-08-13-next339-next342-periodic-geometric-homogenized-transmissivity-amendment.md
357,NEXT341,2026-08-13 (block),search/test,PGHT (follow-on),NA,reserved follow-on; does not exist,NA,not-run (blocked upstream),no,line 8325 | docs/plans/2026-08-13-next339-next342-periodic-geometric-homogenized-transmissivity-amendment.md
358,NEXT342,2026-08-13 (block),search/test,PGHT (follow-on),NA,reserved follow-on; does not exist,NA,not-run (blocked upstream),no,line 8325 | docs/plans/2026-08-13-next339-next342-periodic-geometric-homogenized-transmissivity-amendment.md
