unified_round,segment,native_id,date,artifact_mtime_span,session_first_mention_utc,problem,problem_detail,problem_evidence,role,feature_family,cohort_or_split,own_endpoint,own_metric,outcome,source_file
269,next,NEXT253,2026-08-09 (block),NA,2026-08-09T11:57:03,plausibility,,classified from round topic (no per-round class in the reports),search/test,SVTC (follow-on search),NA,"reserved follow-on; not created (""NEXT253 and NEXT254 were not created or run"")",NA,not-run (blocked upstream),line 5040 | docs/plans/2026-08-09-next251-next254-species-voronoi-topology-consistency.md
270,next,NEXT254,2026-08-09 (block),NA,2026-08-09T11:57:03,plausibility,,classified from round topic (no per-round class in the reports),search/test,SVTC (follow-on diagnostic),NA,reserved follow-on; not created,NA,not-run (blocked upstream),line 5040 | docs/plans/2026-08-09-next251-next254-species-voronoi-topology-consistency.md
271,next,NEXT255,2026-08-09,2026-08-09T07:26 .. 2026-08-09T07:40,2026-08-09T12:22:16,plausibility,,mined from round report/controls,search/test,Delaunay void-cage isotropy (DVCI) features,SCIGEN+WyFormer discovery,label-free feature build + invariance,"3,040,378 SCIGEN + 2,481,675 WyFormer atom-void incidences; zero failures; 16 features finite",probe-pass,line 5088 | docs/plans/2026-08-09-next255-next258-delaunay-void-cage-isotropy.md | artifact mtime: docs/plans/2026-08-09-next255-next258-delaunay-void-cage-isotropy.md
272,next,NEXT256,2026-08-09,2026-08-09T07:41 .. 2026-08-09T07:45,2026-08-09T12:26:47,plausibility,,mined from round report/controls,search/test,DVCI feature audit,SCIGEN+WyFormer discovery labels (offline),cross-source eligibility of 16 protected_high directions,2/16 eligible: closure_mean 0.598664/0.546217 SCIGEN & 0.569696/0.535061 WyFormer; closure_q25 0.582099/0.541173 & 0.587952/0.543086,probe-pass,line 5139 | docs/plans/2026-08-09-next255-next258-delaunay-void-cage-isotropy.md | SSD/workspace_data/newpauling/next256_dvci_feature_audit_v1/MANIFEST.json :: new_formula_selected=False; eligible_hypothesis_count=2 || SSD/workspace_data/newpauling/next256_dvci_f
273,next,NEXT257,2026-08-09,2026-08-09T07:47 .. 2026-08-09T07:51,2026-08-09T12:26:47,plausibility,,mined from round report/controls,search/test,DVCI margin-local search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,42 new candidates; 40 AUC; 39 AUC+SAFE; 0 BROAD,fail-gate,line 5157 | docs/plans/2026-08-09-next255-next258-delaunay-void-cage-isotropy.md | SSD/workspace_data/newpauling/next257_dvci_margin_local_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=43; eligi
274,next,NEXT258,2026-08-09,2026-08-09T07:52 .. 2026-08-09T07:55,2026-08-09T12:26:47,plausibility,,mined from round report/controls,diagnostic,DVCI residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual (lexicographic),"closest: five failures, shortfall 0.1928839713 vs NEXT235 reference (5, 0.1233954365); branch closed",diagnostic-only,line 5169 | docs/plans/2026-08-09-next255-next258-delaunay-void-cage-isotropy.md | SSD/workspace_data/newpauling/next258_dvci_broad_diagnostic_v1/MANIFEST.json :: new_formula_selected=False; candidate_count=39 || SSD/workspace_data/newpauling/next258_dvci_broad_d
275,next,NEXT259,2026-08-09,2026-08-09T08:16 .. 2026-08-09T08:31,2026-08-09T13:05:50,plausibility,,mined from round report/controls,search/test,periodic void-bottleneck persistence (PVBP) features,SCIGEN+WyFormer discovery,label-free feature build + invariance,"supported 13,453/13,470 and 5,138/5,232; 759,159 void nodes / 1,518,339 edges SCIGEN",probe-pass,line 5676 | docs/plans/2026-08-09-next259-next262-periodic-void-bottleneck-persistence.md | artifact mtime: docs/plans/2026-08-09-next259-next262-periodic-void-bottleneck-persistence.md
276,next,NEXT260,2026-08-09,2026-08-09T08:32 .. 2026-08-09T08:36,2026-08-09T13:05:50,plausibility,,mined from round report/controls,search/test,PVBP feature audit,SCIGEN+WyFormer discovery labels (offline),cross-source eligibility of 16 protected_low directions,"4/16 eligible (all cavity-radius statistics; every bottleneck/isolation feature failed); radius_q90 0.650844/0.574503 SCIGEN, 0.592272/0.554779 WyFormer",probe-pass,line 5727 | docs/plans/2026-08-09-next259-next262-periodic-void-bottleneck-persistence.md | SSD/workspace_data/newpauling/next260_pvbp_feature_audit_v1/MANIFEST.json :: new_formula_selected=False; eligible_hypothesis_count=4 || SSD/workspace_data/newpauling/next260_pvbp_f
277,next,NEXT261,2026-08-09,2026-08-09T08:39 .. 2026-08-09T08:45,2026-08-09T13:05:50,plausibility,,mined from round report/controls,search/test,PVBP margin-local search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,84 new candidates; 81 AUC; 75 AUC+SAFE; 0 BROAD,fail-gate,line 5752 | docs/plans/2026-08-09-next259-next262-periodic-void-bottleneck-persistence.md | SSD/workspace_data/newpauling/next261_pvbp_margin_local_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=85; eligi
278,next,NEXT262,2026-08-09,2026-08-09T08:45 .. 2026-08-09T08:49,2026-08-09T13:05:50,plausibility,,mined from round report/controls,diagnostic,PVBP residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual (lexicographic),"closest: five failures, shortfall 0.1491959789 (worse than NEXT235 by 0.0258005424); branch closed",diagnostic-only,line 5763 | docs/plans/2026-08-09-next259-next262-periodic-void-bottleneck-persistence.md | SSD/workspace_data/newpauling/next262_pvbp_broad_diagnostic_v1/MANIFEST.json :: new_formula_selected=False; candidate_count=75 || SSD/workspace_data/newpauling/next262_pvbp_broad_d
279,next,NEXT263,2026-08-09,2026-08-09T09:00 .. 2026-08-09T09:12,2026-08-09T14:00:17,plausibility,,mined from round report/controls,search/test,local angular persistent homology (LAPH) features,SCIGEN+WyFormer discovery,label-free feature build + invariance,"supported 13,470/13,470 and 5,231/5,232; 505,008 + 420,228 positive H1 intervals",probe-pass,line 5841 | docs/plans/2026-08-09-next263-next266-local-angular-persistent-homology.md | artifact mtime: docs/plans/2026-08-09-next263-next266-local-angular-persistent-homology.md
280,next,NEXT264,2026-08-09,2026-08-09T09:13 .. 2026-08-09T09:18,2026-08-09T14:00:17,plausibility,,mined from round report/controls,search/test,LAPH feature audit,SCIGEN+WyFormer discovery labels (offline),cross-source eligibility of 32 directions,"0/32 eligible; top h0_death_cv_q90 SCIGEN 0.574983/0.497398, WyFormer 0.581292/0.519643; branch closed",abandoned-family,line 5887 | docs/plans/2026-08-09-next263-next266-local-angular-persistent-homology.md | SSD/workspace_data/newpauling/next264_laph_feature_audit_v1/MANIFEST.json :: new_formula_selected=False; eligible_hypothesis_count=0 || SSD/workspace_data/newpauling/next264_laph_f
281,next,NEXT265,2026-08-09 (block),NA,2026-08-09T14:00:17,plausibility,,classified from round topic (no per-round class in the reports),search/test,LAPH (follow-on search),NA,reserved follow-on; not run (next265_search_authorized=false),NA,not-run (blocked upstream),line 5896 | docs/plans/2026-08-09-next263-next266-local-angular-persistent-homology.md
282,next,NEXT266,2026-08-09 (block),NA,2026-08-09T14:00:17,plausibility,,classified from round topic (no per-round class in the reports),search/test,LAPH (follow-on),NA,"reserved follow-on; ""NEXT266 was not authorized""",NA,not-run (blocked upstream),line 5897 | docs/plans/2026-08-09-next263-next266-local-angular-persistent-homology.md
283,next,NEXT267,2026-08-09,2026-08-09T09:35 .. 2026-08-09T09:42,2026-08-09T14:28:01,plausibility,,mined from round report/controls,search/test,periodic radical-Voronoi packing (PRV) features,SCIGEN+WyFormer discovery,label-free feature build + invariance,"supported 13,469/13,470 and 5,226/5,232; max tiling errors 1.842e-15 / 1.703e-15",probe-pass,line 5947 | docs/plans/2026-08-09-next267-next270-periodic-radical-voronoi-packing.md | artifact mtime: tests/test_next267_periodic_radical_voronoi_packing.py
284,next,NEXT268,2026-08-09,2026-08-09T09:43 .. 2026-08-09T09:46,2026-08-09T14:29:27,plausibility,,mined from round report/controls,search/test,PRV feature audit,SCIGEN+WyFormer discovery labels (offline),cross-source eligibility of 32 directions,2/32 eligible: volume_ratio_cv SCIGEN 0.726539/0.647609 (WyFormer 0.550738/0.526683); chebyshev_ratio_cv 0.662887/0.580717 (0.591859/0.539766),probe-pass,line 5997 | docs/plans/2026-08-09-next267-next270-periodic-radical-voronoi-packing.md | SSD/workspace_data/newpauling/next268_prv_feature_audit_v1/MANIFEST.json :: new_formula_selected=False; eligible_hypothesis_count=2 || SSD/workspace_data/newpauling/next268_prv_fea
285,next,NEXT269,2026-08-09,2026-08-09T09:47 .. 2026-08-09T09:51,2026-08-09T14:29:27,plausibility,,mined from round report/controls,search/test,PRV margin-local search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,42 new candidates; 35 AUC; 40 SAFE; 35 AUC+SAFE; 0 BROAD,fail-gate,line 6017 | docs/plans/2026-08-09-next267-next270-periodic-radical-voronoi-packing.md | SSD/workspace_data/newpauling/next269_prv_margin_local_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=43; eligib
286,next,NEXT270,2026-08-09,2026-08-09T09:51 .. 2026-08-09T09:59,2026-08-09T14:28:01,plausibility,,mined from round report/controls,diagnostic,PRV residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual (lexicographic),"closest: five failures, shortfall 0.0955435293 - strict 22.57% improvement over NEXT235 (best residual to date); still not a BROAD pass",diagnostic-only,line 6029 | docs/plans/2026-08-09-next267-next270-periodic-radical-voronoi-packing.md | SSD/workspace_data/newpauling/next270_prv_broad_diagnostic_v1/MANIFEST.json :: new_formula_selected=False; candidate_count=35 || SSD/workspace_data/newpauling/next270_prv_broad_dia
287,next,NEXT271,2026-08-09,2026-08-09T10:06 .. 2026-08-09T10:09,2026-08-09T15:06:05,plausibility,,mined from round report/controls,search/test,joint radical-packing (PRVJ) features,SCIGEN+WyFormer discovery,label-free feature build,"12 combinations finite for 13,469/13,470 and 5,226/5,232 rows",probe-pass,line 5540 | docs/plans/2026-08-09-next271-next274-joint-radical-packing.md | artifact mtime: docs/plans/2026-08-09-next271-next274-joint-radical-packing.md
288,next,NEXT272,2026-08-09,2026-08-09T10:10 .. 2026-08-09T10:13,2026-08-09T15:06:05,plausibility,,mined from round report/controls,search/test,PRVJ feature audit,SCIGEN+WyFormer discovery labels (offline),cross-source eligibility of 24 hypotheses,"7/24 eligible; balance_weighted_joint SCIGEN 0.709114/0.639997, WyFormer 0.566075/0.543816",probe-pass,line 5560 | docs/plans/2026-08-09-next271-next274-joint-radical-packing.md | SSD/workspace_data/newpauling/next272_joint_radical_feature_audit_v1/MANIFEST.json :: new_formula_selected=False; eligible_hypothesis_count=7 || SSD/workspace_data/newpauling/next2
289,next,NEXT273,2026-08-09,2026-08-09T10:14 .. 2026-08-09T10:17,2026-08-09T15:06:05,plausibility,,mined from round report/controls,search/test,PRVJ margin-local search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,147 new candidates; 117 AUC; 140 SAFE; 117 AUC+SAFE; 0 BROAD,fail-gate,line 5585 | docs/plans/2026-08-09-next271-next274-joint-radical-packing.md | SSD/workspace_data/newpauling/next273_joint_radical_margin_local_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=
290,next,NEXT274,2026-08-09,2026-08-09T10:18 .. 2026-08-09T10:21,2026-08-09T15:06:05,plausibility,,mined from round report/controls,diagnostic,PRVJ residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual (lexicographic),"closest 0.0979291803 vs NEXT270 (5, 0.0955435293): worse by 0.0023856511; branch closed",diagnostic-only,line 5596 | docs/plans/2026-08-09-next271-next274-joint-radical-packing.md | SSD/workspace_data/newpauling/next274_joint_radical_broad_diagnostic_v1/MANIFEST.json :: new_formula_selected=False; candidate_count=117 || SSD/workspace_data/newpauling/next274_jo
291,next,NEXT275,2026-08-09,2026-08-09T10:27 .. 2026-08-09T10:36,2026-08-09T15:26:41,plausibility,,mined from round report/controls,search/test,species-resolved radical packing (PRVS) features,SCIGEN+WyFormer discovery,label-free feature build,"10 features finite; coverage matched NEXT267 (13,469 / 5,226); 7 abstentions",probe-pass,line 5249 | docs/plans/2026-08-09-next275-next278-species-resolved-radical-packing.md | artifact mtime: docs/plans/2026-08-09-next275-next278-species-resolved-radical-packing.md
292,next,NEXT276,2026-08-09,2026-08-09T10:37 .. 2026-08-09T10:40,2026-08-09T15:27:10,plausibility,,mined from round report/controls,search/test,PRVS feature audit,SCIGEN+WyFormer discovery labels (offline),cross-source eligibility of 20 hypotheses,"1/20 eligible: chebyshev_between_cv SCIGEN 0.6387217848/0.5647325380, WyFormer 0.5838637622/0.5394419912",probe-pass,line 5297 | docs/plans/2026-08-09-next275-next278-species-resolved-radical-packing.md | SSD/workspace_data/newpauling/next276_species_resolved_radical_feature_audit_v1/MANIFEST.json :: new_formula_selected=False; eligible_hypothesis_count=1 || SSD/workspace_data/newpa
293,next,NEXT277,2026-08-09,2026-08-09T10:41 .. 2026-08-09T10:47,2026-08-09T15:27:10,plausibility,,mined from round report/controls,search/test,PRVS margin-local search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,21 new candidates; 18 AUC; 20 SAFE; 18 AUC+SAFE; 0 BROAD,fail-gate,line 5322 | docs/plans/2026-08-09-next275-next278-species-resolved-radical-packing.md | SSD/workspace_data/newpauling/next277_species_resolved_radical_margin_local_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candi
294,next,NEXT278,2026-08-09,2026-08-09T10:48 .. 2026-08-09T10:52,2026-08-09T15:26:41,plausibility,,mined from round report/controls,diagnostic,PRVS residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual (lexicographic),"closest: five failures, shortfall 0.1565314150611804 (worse than NEXT270 by 0.0609878857855497); branch closed",diagnostic-only,line 5336 | docs/plans/2026-08-09-next275-next278-species-resolved-radical-packing.md | SSD/workspace_data/newpauling/next278_species_resolved_radical_broad_diagnostic_v1/MANIFEST.json :: new_formula_selected=False; candidate_count=18 || SSD/workspace_data/newpauling/
295,next,NEXT279,2026-08-09,2026-08-09T11:00 .. 2026-08-09T11:16,2026-08-09T16:00:42,plausibility,,mined from round report/controls,search/test,radical-packing autocorrelation (PRPA) features,SCIGEN+WyFormer discovery,label-free feature build (two pre-outcome amendments),"supported 13,412/13,470 and 5,073/5,232; 1,744,436 + 1,311,394 directed contact incidences",probe-pass,line 5423 | docs/plans/2026-08-09-next279-next282-radical-packing-autocorrelation-amendment-2.md | artifact mtime: docs/plans/2026-08-09-next279-next282-radical-packing-autocorrelation.md
296,next,NEXT280,2026-08-09,2026-08-09T11:18 .. 2026-08-09T11:21,2026-08-09T16:00:42,plausibility,,mined from round report/controls,search/test,PRPA feature audit,SCIGEN+WyFormer discovery labels (offline),cross-source eligibility of 8 frozen directions,"0/8 eligible; top chebyshev_geary SCIGEN 0.5290111493/0.4571619089, WyFormer 0.5422106908/0.5039079462; branch terminated",abandoned-family,line 5475 | docs/plans/2026-08-09-next279-next282-radical-packing-autocorrelation-amendment-2.md | SSD/workspace_data/newpauling/next280_radical_packing_autocorrelation_audit_v1/MANIFEST.json :: new_formula_selected=False; eligible_hypothesis_count=0 || SSD/workspace_data/newpau
297,next,NEXT281,2026-08-09 (block),NA,2026-08-09T16:00:42,plausibility,,classified from round topic (no per-round class in the reports),search/test,PRPA (follow-on search),NA,"reserved follow-on; ""NEXT281 and NEXT282 were neither created nor run""",NA,not-run (blocked upstream),line 5491 | docs/plans/2026-08-09-next279-next282-radical-packing-autocorrelation-amendment-2.md
298,next,NEXT282,2026-08-09 (block),NA,2026-08-09T16:00:42,plausibility,,classified from round topic (no per-round class in the reports),search/test,PRPA (follow-on diagnostic),NA,reserved follow-on; not created,NA,not-run (blocked upstream),line 5491 | docs/plans/2026-08-09-next279-next282-radical-packing-autocorrelation-amendment-2.md
299,next,NEXT283,2026-08-09,2026-08-09T11:31 .. 2026-08-09T11:42,2026-08-09T16:28:46,plausibility,,mined from round report/controls,search/test,power-cell shape-volume coupling (PSVC) features,SCIGEN+WyFormer discovery,label-free feature build (scale-invariance amendment),"records for 13,469/13,470 and 5,226/5,232; sphericity ranges 0.063645-0.953111 / 0.061253-0.972860",probe-pass,line 6109 | docs/plans/2026-08-09-next283-next286-power-cell-shape-volume-coupling-amendment.md | artifact mtime: docs/plans/2026-08-09-next283-next286-power-cell-shape-volume-coupling.md
300,next,NEXT284,2026-08-09,2026-08-09T11:43 .. 2026-08-09T11:47,2026-08-09T16:28:46,plausibility,,mined from round report/controls,search/test,PSVC feature audit,SCIGEN+WyFormer discovery labels (offline),cross-source eligibility of 6 directions,"3/6 eligible; mean inflated-asphericity SCIGEN 0.719090/0.717172/0.657663, WyFormer 0.598361/0.599818/0.574934",probe-pass,line 6174 | docs/plans/2026-08-09-next283-next286-power-cell-shape-volume-coupling-amendment.md | SSD/workspace_data/newpauling/next284_power_cell_shape_volume_feature_audit_v1/MANIFEST.json :: new_formula_selected=False; eligible_hypothesis_count=3 || SSD/workspace_data/newpau
301,next,NEXT285,2026-08-09,2026-08-09T11:48 .. 2026-08-09T11:52,2026-08-09T16:28:46,plausibility,,mined from round report/controls,search/test,PSVC margin-local search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,63 new candidates; 42 AUC+SAFE; 60 SAFE; 0 BROAD,fail-gate,line 6205 | docs/plans/2026-08-09-next283-next286-power-cell-shape-volume-coupling-amendment.md | SSD/workspace_data/newpauling/next285_power_cell_shape_volume_margin_local_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candid
302,next,NEXT286,2026-08-09,2026-08-09T11:52 .. 2026-08-09T11:56,2026-08-09T16:28:46,plausibility,,mined from round report/controls,diagnostic,PSVC residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual (lexicographic),"closest: five failures, shortfall 0.1546675058 (worse than NEXT270 by 0.0591239765); branch closed",diagnostic-only,line 6234 | docs/plans/2026-08-09-next283-next286-power-cell-shape-volume-coupling-amendment.md | SSD/workspace_data/newpauling/next286_power_cell_shape_volume_broad_diagnostic_v1/MANIFEST.json :: new_formula_selected=False; candidate_count=42 || SSD/workspace_data/newpauling/n
303,next,NEXT287,2026-08-09,2026-08-09T12:09 .. 2026-08-09T12:16,2026-08-09T17:08:41,plausibility,,mined from round report/controls,search/test,PRV one-sided relief search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,42 new candidates; all SAFE; 35 AUC+SAFE; 0 BROAD,fail-gate,line 6277 | docs/plans/2026-08-09-next287-next288-prv-one-sided-relief.md | SSD/workspace_data/newpauling/next287_prv_one_sided_relief_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=43; el
304,next,NEXT288,2026-08-09,2026-08-09T12:17 .. 2026-08-09T12:20,2026-08-09T17:09:37,plausibility,,mined from round report/controls,diagnostic,one-sided relief residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual (lexicographic),"closest: five failures, shortfall 0.1274245558 (worse than NEXT270 by 0.0318810265); branch closed",diagnostic-only,line 6340 | docs/plans/2026-08-09-next287-next288-prv-one-sided-relief.md | SSD/workspace_data/newpauling/next288_prv_one_sided_broad_diagnostic_v1/MANIFEST.json :: new_formula_selected=False; candidate_count=35 || SSD/workspace_data/newpauling/next288_prv
305,next,NEXT289,2026-08-09,2026-08-09T12:27 .. 2026-08-09T12:37,2026-08-09T17:26:19,plausibility,,mined from round report/controls,search/test,PRV confidence-deadzone search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,84 new candidates; 80 SAFE; 64 AUC+SAFE; 0 BROAD,fail-gate,line 6388 | docs/plans/2026-08-09-next289-next290-prv-confidence-deadzone.md | SSD/workspace_data/newpauling/next289_prv_confidence_deadzone_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=85;
306,next,NEXT290,2026-08-09,2026-08-09T12:42 .. 2026-08-09T12:43,2026-08-09T17:27:02,plausibility,,mined from round report/controls,diagnostic,deadzone residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual (lexicographic),"closest: five failures, shortfall 0.1787881434 (worse than NEXT270 by 0.0832446141); PRV score-combination development closed",diagnostic-only,line 6448 | docs/plans/2026-08-09-next289-next290-prv-confidence-deadzone.md | SSD/workspace_data/newpauling/next290_prv_confidence_deadzone_broad_diagnostic_v1/MANIFEST.json :: new_formula_selected=False; candidate_count=64 || SSD/workspace_data/newpauling/n
307,next,NEXT291,2026-08-09,2026-08-09T12:56 .. 2026-08-09T13:11,2026-08-09T17:54:35,plausibility,,mined from round report/controls,search/test,radius-weighted Delaunay cage isotropy (RWDCI) features,SCIGEN+WyFormer discovery,label-free feature build + invariance,coverage 0.999925761 SCIGEN / 0.998853211 WyFormer; tiling errors <=1.8242e-15,probe-pass,line 6498 | docs/plans/2026-08-09-next291-next294-radius-weighted-delaunay-cage-isotropy.md | artifact mtime: docs/plans/2026-08-09-next291-next294-radius-weighted-delaunay-cage-isotropy.md
308,next,NEXT292,2026-08-09,2026-08-09T13:13 .. 2026-08-09T13:17,2026-08-09T17:56:09,plausibility,,mined from round report/controls,search/test,RWDCI feature audit,SCIGEN+WyFormer discovery labels (offline),cross-source eligibility of 16 protected_high hypotheses,"0/16 eligible (all pass SCIGEN, none WyFormer); leader closure_q10 SCIGEN 0.692462/0.639360 vs WyFormer 0.532862/0.474934; branch terminated",abandoned-family,line 6576 | docs/plans/2026-08-09-next291-next294-radius-weighted-delaunay-cage-isotropy.md | SSD/workspace_data/newpauling/next292_rwdci_feature_audit_v1/MANIFEST.json :: new_formula_selected=False; eligible_hypothesis_count=0 || SSD/workspace_data/newpauling/next292_rwdci
309,next,NEXT293,2026-08-09 (block),NA,2026-08-09T17:56:09,plausibility,,classified from round topic (no per-round class in the reports),search/test,RWDCI (follow-on search),NA,"reserved follow-on; ""NEXT293 and NEXT294 were not created""",NA,not-run (blocked upstream),line 6596 | docs/plans/2026-08-09-next291-next294-radius-weighted-delaunay-cage-isotropy.md
310,next,NEXT294,2026-08-09 (block),NA,2026-08-09T17:54:35,plausibility,,classified from round topic (no per-round class in the reports),search/test,RWDCI (follow-on diagnostic),NA,reserved follow-on; not created,NA,not-run (blocked upstream),line 6596 | docs/plans/2026-08-09-next291-next294-radius-weighted-delaunay-cage-isotropy.md
311,next,NEXT295,2026-08-09,2026-08-09T13:35 .. 2026-08-09T13:51,2026-08-09T18:34:00,plausibility,,mined from round report/controls,search/test,positive contact force closure (PCFC) features,SCIGEN+WyFormer discovery,label-free feature build (LP closure certificate),"supported 12,749/13,470 (0.946473645) and 5,013/5,232 (0.958142202); build 137.47 s",probe-pass,line 6633 | docs/plans/2026-08-09-next295-next298-positive-contact-force-closure.md | artifact mtime: docs/plans/2026-08-09-next295-next298-positive-contact-force-closure.md
312,next,NEXT296,2026-08-09,2026-08-09T13:51 .. 2026-08-09T13:57,2026-08-09T18:35:44,plausibility,,mined from round report/controls,search/test,PCFC feature audit,SCIGEN+WyFormer discovery labels (offline),cross-source eligibility incl. 0.90 fold-coverage gate,0/13 eligible; leader weighted_closure_mean AUC 0.641579/0.564525 SCIGEN & 0.557970/0.554311 WyFormer but SCIGEN fold coverage 0.896272285 < 0.90; branch terminated,abandoned-family,line 6728 | docs/plans/2026-08-09-next295-next298-positive-contact-force-closure.md | SSD/workspace_data/newpauling/next296_pcfc_feature_audit_v1/MANIFEST.json :: new_formula_selected=False; eligible_hypothesis_count=0 || SSD/workspace_data/newpauling/next296_pcfc_f
313,next,NEXT297,2026-08-09 (block),NA,2026-08-09T18:35:44,plausibility,,classified from round topic (no per-round class in the reports),search/test,PCFC (follow-on search),NA,"reserved follow-on; ""NEXT297 and NEXT298 were not created""",NA,not-run (blocked upstream),line 6758 | docs/plans/2026-08-09-next295-next298-positive-contact-force-closure.md
314,next,NEXT298,2026-08-09 (block),NA,2026-08-09T18:34:00,plausibility,,classified from round topic (no per-round class in the reports),search/test,PCFC (follow-on diagnostic),NA,reserved follow-on; not created,NA,not-run (blocked upstream),line 6758 | docs/plans/2026-08-09-next295-next298-positive-contact-force-closure.md
315,next,NEXT299,2026-08-09,2026-08-09T14:19 .. 2026-08-09T14:34,2026-08-09T19:05:39,plausibility,,mined from round report/controls,search/test,minimal opposite-sign periodic cage (MOSPC) features,SCIGEN+WyFormer discovery,label-free feature build + certified enumeration,"supported 13,217/13,470 (0.981217520) and 5,180/5,232 (0.990061162); build 37.09 s",probe-pass,line 6798 | docs/plans/2026-08-09-next299-next302-minimal-opposite-sign-periodic-cage.md | artifact mtime: docs/plans/2026-08-09-next299-next302-minimal-opposite-sign-periodic-cage.md
316,next,NEXT300,2026-08-09,2026-08-09T14:35 .. 2026-08-09T14:39,2026-08-09T19:19:38,plausibility,,mined from round report/controls,search/test,MOSPC feature audit,SCIGEN+WyFormer discovery labels (offline),cross-source eligibility of 13 hypotheses,"5/13 eligible; leader inverse-square closure q10 SCIGEN 0.649318/0.608070, WyFormer 0.590281/0.542385",probe-pass,line 6874 | docs/plans/2026-08-09-next299-next302-minimal-opposite-sign-periodic-cage.md | SSD/workspace_data/newpauling/next300_mospc_feature_audit_v1/MANIFEST.json :: new_formula_selected=False; eligible_hypothesis_count=5 || SSD/workspace_data/newpauling/next300_mospc
317,next,NEXT301,2026-08-09,2026-08-09T14:41 .. 2026-08-09T14:42,2026-08-09T19:19:38,plausibility,,mined from round report/controls,search/test,MOSPC margin-local search,SCIGEN+WyFormer discovery,six source-AUC + SAFE12 + BROAD discovery gates,105 new candidates; 80 pass AUC+SAFE; 0 BROAD,fail-gate,line 6907 | docs/plans/2026-08-09-next299-next302-minimal-opposite-sign-periodic-cage.md | SSD/workspace_data/newpauling/next301_mospc_margin_local_search_v1/MANIFEST.json :: freeze_authorized=False; passes_all_cross_source_discovery_gates=False; candidate_count=106; eli
318,next,NEXT302,2026-08-09,2026-08-09T14:43 .. 2026-08-09T14:45,2026-08-09T19:05:39,plausibility,,mined from round report/controls,diagnostic,MOSPC residual,SCIGEN+WyFormer discovery labels (offline),exact BROAD threshold residual (lexicographic),"closest: six failures, shortfall 0.152605018 vs NEXT235 (5, 0.123395437); branch closed",diagnostic-only,line 6923 | docs/plans/2026-08-09-next299-next302-minimal-opposite-sign-periodic-cage.md | SSD/workspace_data/newpauling/next302_mospc_broad_diagnostic_v1/MANIFEST.json :: new_formula_selected=False; candidate_count=80 || SSD/workspace_data/newpauling/next302_mospc_broad
319,next,NEXT303,2026-08-09,2026-08-09T15:02 .. 2026-08-09T15:09,2026-08-09T20:00:57,plausibility,,mined from round report/controls,search/test,periodic reciprocal cage balance (PRCB) features,SCIGEN+WyFormer discovery,label-free feature build,"supported 13,217 (0.9812175204) and 5,180 (0.9900611621); 317,429 + 296,737 edge orbits",probe-pass,line 6978 | docs/plans/2026-08-09-next303-next306-periodic-reciprocal-cage-balance.md | artifact mtime: docs/plans/2026-08-09-next303-next306-periodic-reciprocal-cage-balance.md
320,next,NEXT304,2026-08-09,2026-08-09T15:10 .. 2026-08-09T15:15,2026-08-09T20:01:43,plausibility,,mined from round report/controls,search/test,PRCB feature audit,SCIGEN+WyFormer discovery labels (offline),cross-source eligibility of 13 hypotheses,"4/13 eligible; leader inverse-square closure min SCIGEN 0.670679/0.635616, WyFormer 0.566946/0.537039; mutual-selection hypotheses reversed direction",probe-pass,line 7053 | docs/plans/2026-08-09-next303-next306-periodic-reciprocal-cage-balance.md | SSD/workspace_data/newpauling/next304_prcb_feature_audit_v1/MANIFEST.json :: new_formula_selected=False; eligible_hypothesis_count=4 || SSD/workspace_data/newpauling/next304_prcb_f
